#Python,PJ
abs,{}の絶対値
.isalpha,{0}が全てアルファベットかどうか
.isalnum,{0}が全て英数字かどうか
.isascii,{0}が全てASCII文字かどうか
.isdigit,{0}が全て数字かどうか
.isdecimal,{0}が全て数字かどうか
.isnumeric,{0}が全て数字かどうか
.isidentifier,{0}が識別子として利用可能かどうか
.isprintable,{}が印字可能かどうか
.append,{}の末尾に{}を追加する
.extend,{1}を追加して{0}を拡張する
.insert,{}の{}に{}を挿入する
.remove,{}内の{}と等しい要素を取り除く
.pop,{}の先頭を取り出した値
.pop,{}の{}を取り出した値
.clear,{}内の全ての要素を取り除く
.index,{}の{}と等しい要素の最初の位置
.index,{0}の{2}からの範囲内での{1}と等しい要素の最初の位置
.index,{0}の{2}から{3}までの範囲内での{1}と等しい要素の最初の位置
.sort,{}をソートする
.sort#key,{}をキーとして
.sort#reverse=True,逆順に
.reverse,{}を逆順にする
.copy,{}のコピー
.get,{}に対応する値
.get,{}に対応する値、もし存在しなければ{}
.keys,{}のキーの集まり
.values,{}の値の集まり
.items,{}のキーと値の集まり
.update,{1}を追加して{0}を更新する
.read,{}から読み込んだデータ
.read,{}から読み込んだ大きさ{}のデータ
.readline,{}から読み込んだ一行
.readlines,{}から読み込んだ行の列
.write,{}に{}を書き込む
__class__,クラス定義
__name__,識別子
__file__,このスクリプトがあるファイルパス
.apply,{}に{}を適用した結果


